user_id,recency,frequency,avg_monetary_value,vintage_in_days,predicted_churn_probability_LR,predicted_churn_probability_SVM
000700164cee77c05439c206a588b66fe734150ede585f413a89f514c76fa38d,19,20,236,113,66%,74%
001481e9e6ea150295c6e7664c9eb824dc2393ede3a88dfdc62d295f7d060f4c,26,2,241,88,11%,6%
001726a658360a6d132183dfbf194fcf612b7d7fec905a0f316993e530cbc8f5,21,18,579,73,81%,97%
0019ae10f04eb5881907a716fd94baf85819669dde6155a88f53b4d2037bb145,40,7,306,78,39%,48%
0021cd67f7943f1378af2b4dcc081106dfde40b4717653578ebc90b9db5d62f1,81,2,238,24,72%,80%
00249ca362e4bdde5c6907638280b88e2d4af4b43dde03c7be6a58ad3d9e2432,26,7,180,16,68%,92%
00276702d3dfe405faae5865d69f7591f17cfb3b4911a407d2b2e49740b1e4d6,20,46,479,117,100%,92%
002ad2a1aca7752b884a129e7b221fbd517fd045ff16cd1c19ce44f70b4c55e1,54,19,479,81,90%,100%
002b3a54d2a9802624be8ff00d98f1194f07f87cac372f456d57a5bf23446377,86,2,340,4,83%,100%
002f6bd3cb9b5a4703f10f0685708ef95e1dba4bb7e193b7d48e6775231c8d8e,19,11,667,19,81%,98%
0031e94d921931fde63dcd1f81b35f845f7d2f72b3b0d31c742c918e01fdd2e7,18,2,192,7,45%,69%
0035428ef8b8908c879e1ae6fa281abac44bc4fa8efa40fd2d5784aee91cb3e1,36,4,146,76,24%,16%
00358f37941990e761d3b1e95df08d12e30b81d20cc7a0390c63e37c5116033a,39,4,509,16,64%,81%
00415a24e1309ea4ed2128012d482eedcd4f6a212aba950a0a2cd2f40a0fa9e7,58,2,78,69,30%,9%
0041c2745e37d13ad8de119ab024970cafd54d2c3b6c1c1e96c2fda148d1e7cd,46,3,235,89,20%,11%
0046118fb201fb9f50db6e1ab13d993035d216d1cd99a638837f840b72d55c2c,27,2,413,6,53%,81%
004b1c50f37515592101ad0730659616555433036292852df7d7e01cd19a090f,57,3,271,80,29%,16%
004f4a1b5b2dce5dcf695a22c9cc272632346d5b3fa29fb57eeea9ca37e129be,23,6,191,115,11%,17%
005195a7332986ecefc8750a754647c3e2e27f3e921a237f0c21dc007f7e8779,96,3,381,35,78%,83%
0055584dd920f8978d76dee28f986668e1aa8da1607d2ca1a7550f7b31e67992,19,40,307,118,99%,92%
005a7d7f5b9f8c3418d2400e9f1c444e463c13eee6491a0f13303a293f075d38,25,2,1328,26,44%,16%
005b89eea728354a6f93e7677e336c2a5bdfb23334759e2901f2d7ff35034ebb,19,11,326,72,49%,73%
005d8d8467f2b3e90d7a957c62a86779a09c97cf07863ccd953087f872065d1c,18,16,387,100,56%,66%
00685165b2e14fb42bafaf6ae101d3dc8c0132a391062f5a1ee229538a5bd0ff,30,5,312,45,44%,29%
006a10ec39bcff9d4547fe93d6c910296f98459bd7aec942ed3745ab29a93868,52,3,336,41,50%,19%
006afc647d1188f98aab68ea5c85411e0d2861fb359847f8823780b2bccd9dc2,108,2,368,22,84%,98%
006c0523b7e502e4364866e06ad445a2f632630085684a0509aa2516f81a76a7,24,8,237,111,18%,23%
00757888ff4db7cc3e3bd219be047a0da8f98f690396b461d6b269e72f02e170,20,4,529,118,7%,10%
0077dc57eb6631cdf75ddf16db12748ed4122487dc49534746af4343dc04d046,82,3,348,22,78%,93%
0077ecd6eb5a9240d81f9a1ca28878b333a971dc486066ac176f3ea48fab5f49,21,3,609,10,52%,72%
007b9f76cdf829567d2af0fad96c32d4e96a7a156032b963acd21ea05f03762d,49,8,355,77,50%,72%
008067fb0780497cf5b08f232c5467813e12b338fa803d5538250a652ebca740,24,11,385,109,30%,36%
0082cb10769269f4cfce785bf2e52c2029b2b032fdc8fdeb9ebebf1d2a6ef03c,32,5,363,101,16%,13%
0088759610bafb68c8ef50f5b5f74d56101073e796b4262dd2dcffe39e6b5037,108,2,412,15,87%,99%
